GEM geometry configuration as of 2016
det  x[mm]  y[mm]  z[mm]  phi[rad]
 0  0.00   0.00    -1.   0.000
 1  0.00   0.00    0.   0.000	
 2  0.00   0.00    1083.   0.000
 3  0.00   0.00    2123.   0.000
